R3
Novak Djokovic (SRB) [1]
Tomas Martin Etcheverry (ARG) [30]
Adrian Mannarino (FRA) [20]
Ben Shelton (USA) [16]
Taylor Fritz (USA) [12]
Francisco Cerundolo (ARG) [22]
Lorenzo Musetti (ITA) [25]
Stefanos Tsitsipas (GRE) [7]
Jannik Sinner (ITA) [4]
Sebastian Baez (ARG) [26]
Tomas Machac (CZE)
Karen Khachanov (RUS) [15]
Alex de Minaur (AUS) [10]
Nicolas Jarry (CHI) [18]
Sebastian Korda (USA) [29]
Andrey Rublev (RUS) [5]
Arthur Cazaux (FRA) [WC]
Arthur Fils (FRA)
Ugo Humbert (FRA) [21]
Hubert Hurkacz (POL) [9]
Grigor Dimitrov (BUL) [13]
Nuno Borges (POR)
Felix Auger-Aliassime (CAN) [27]
Daniil Medvedev (RUS) [3]
Alexander Zverev (GER) [6]
Jiri Lehecka (CZE) [32]
Cameron Norrie (GBR) [19]
Casper Ruud (NOR) [11]
Tommy Paul (USA) [14]
Miomir Kecmanovic (SRB)
Alexander Bublik (KAZ) [31]
Carlos Alcaraz (ESP) [2]
